"Fornecedor","Descrição","Preço"
"SUKHAVATI","Abóbora orgânica madura 1kg (0ferta da colheita)","3,00"
"SUKHAVATI","Alcachofra orgânica flor unidade","6,00"
"SUKHAVATI","Alecrim canforado maço","3,00"
"SUKHAVATI","Alface americana unidade","3,00"
"SUKHAVATI","Alface Canadense rôxa orgânica maço","3,00"
"SUKHAVATI","Alface crespa roxa orgânica unidade","3,00"
"SUKHAVATI","Alface crespa verde unidade","3,00"
"SUKHAVATI","Alface lisa orgânica unidade","3,00"
"SUKHAVATI","Alface mimosa roxa orgânica unidade","3,00"
"SUKHAVATI","Alho porro orgânico unidade","3,00"
"SUKHAVATI","Almeirão spadona orgânica maço","3,00"
"SUKHAVATI","Azedinha orgânica maço","3,00"
"SUKHAVATI","Beldroega orgânica maço","3,00"
"SUKHAVATI","Berinjela 500g","5,00"
"SUKHAVATI","Capiçoba orgânica - maço","3,00"
"SUKHAVATI","Cebola rôxa orgânica- 1kg","8,00"
"SUKHAVATI","Cebolinha orgânica maço","3,00"
"SUKHAVATI","Chuchu orgânica 1kg","4,00"
"SUKHAVATI","Coentro orgânico folha maço","3,00"
"SUKHAVATI","Couve chinesa orgânica unidade","3,00"
"SUKHAVATI","Couve flor orgânica unidade","6,00"
"SUKHAVATI","Couve manteiga orgânica maço","3,00"
"SUKHAVATI","Ervilha torta 250gr","4,50"
"SUKHAVATI","Escarola orgânica unidade","3,00"
"SUKHAVATI","Espinafre orgânica maço","3,00"
"SUKHAVATI","Folhas de língua de vaca maço","3,00"
"SUKHAVATI","Folhas de nabo forrageiro orgânica maço","3,00"
"SUKHAVATI","Guasca ( picão branco) maço","3,00"
"SUKHAVATI","Inhame comum 1kg","5,00"
"SUKHAVATI","Inhame PANC orgânica 1kg","4,00"
"SUKHAVATI","Limão rosa orgânico 500g","3,00"
"SUKHAVATI","Louro orgânico maço","3,00"
"SUKHAVATI","Mandioca orgânica 1kg","4,00"
